Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
Q8NE22,SETD9_HUMAN,SET domain-containing protein 9 (EC 2.1.1.-),SETD9 C5orf35,Homo sapiens (Human),GO:0005654; GO:0016278; GO:0032259; GO:1901796
Q66IC8,TC1D1_DANRE,Tctex1 domain-containing protein 1,tctex1d1 zgc:101774,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0060271
Q9D5I4,TC1D1_MOUSE,Tctex1 domain-containing protein 1,Tctex1d1,Mus musculus (Mouse),
H9D1R1,TXD12_EPICO,Thioredoxin domain-containing protein 12 (EC 1.8.4.2),Txndc12,Epinephelus coioides (Orange-spotted grouper) (Epinephelus nebulosus),GO:0005623; GO:0005788; GO:0009055; GO:0016032; GO:0019153; GO:0045454; GO:0051607; GO:0055114
P42285,MTREX_HUMAN,Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase),MTREX DOB1 KIAA0052 MTR4 SKIV2L2,Homo sapiens (Human),GO:0000398; GO:0000460; GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0006401; GO:0016076; GO:0016607; GO:0031499; GO:0071013
Q8N3J6,CADM2_HUMAN,Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D) (Nectin-like protein 3) (NECL-3) (Synaptic cell adhesion molecule 2) (SynCAM 2),CADM2 IGSF4D NECL3,Homo sapiens (Human),GO:0005886; GO:0007155; GO:0016021; GO:0030054; GO:0030424; GO:0034332; GO:0045202
Q80V70,MEGF6_MOUSE,Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3),Megf6 Egfl3,Mus musculus (Mouse),GO:0005509; GO:0062023
Q7T3Q2,CRIM1_DANRE,Cysteine-rich motor neuron 1 protein (CRIM-1),crim1,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0001568; GO:0001756; GO:0004867; GO:0005520; GO:0005576; GO:0016021; GO:0048570
Q8K3E5,AHI1_MOUSE,Jouberin (Abelson helper integration site 1 protein) (AHI-1),Ahi1,Mus musculus (Mouse),GO:0001738; GO:0001750; GO:0001947; GO:0002092; GO:0005623; GO:0005737; GO:0005813; GO:0005814; GO:0005911; GO:0005912; GO:0005929; GO:0006903; GO:0007169; GO:0007417; GO:0010628; GO:0010842; GO:0010976; GO:0016192; GO:0030862; GO:0030902; GO:0033365; GO:0034613; GO:0035844; GO:0035845; GO:0036038; GO:0036064; GO:0039008; GO:0039023; GO:0042462; GO:0042802; GO:0043066; GO:0045927; GO:0045944; GO:0046325; GO:0046548; GO:0046549; GO:0050708; GO:0050795; GO:0060041; GO:0060271; GO:0065001; GO:0070121; GO:0070986; GO:0071599; GO:0097730; GO:0120206; GO:1905515
Q6DTM3,AHI1_RAT,Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1),Ahi1,Rattus norvegicus (Rat),GO:0001738; GO:0001750; GO:0001947; GO:0002092; GO:0005623; GO:0005737; GO:0005813; GO:0005814; GO:0005911; GO:0005912; GO:0005929; GO:0006903; GO:0007169; GO:0007417; GO:0010628; GO:0010842; GO:0010976; GO:0016192; GO:0021510; GO:0030862; GO:0030902; GO:0032094; GO:0033365; GO:0034613; GO:0035844; GO:0035845; GO:0036038; GO:0036064; GO:0039008; GO:0039023; GO:0042462; GO:0042802; GO:0043066; GO:0045927; GO:0045944; GO:0046325; GO:0046548; GO:0046549; GO:0050708; GO:0050795; GO:0060041; GO:0060271; GO:0065001; GO:0070121; GO:0070986; GO:0071599; GO:0097730; GO:0120206; GO:1905515; GO:1990403
D3ZYR1,FCHO2_RAT,F-BAR domain only protein 2,Fcho2,Rattus norvegicus (Rat),GO:0001786; GO:0005546; GO:0005737; GO:0005856; GO:0005886; GO:0005905; GO:0008092; GO:0010324; GO:0030136; GO:0035091; GO:0042802; GO:0048268; GO:0048488; GO:0072583; GO:0072659; GO:0098835
Q9Y493,ZAN_HUMAN,Zonadhesin,ZAN,Homo sapiens (Human),GO:0005886; GO:0007339; GO:0016021; GO:0098609
Q0JRZ9,FCHO2_HUMAN,F-BAR domain only protein 2,FCHO2,Homo sapiens (Human),GO:0001786; GO:0005546; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0005905; GO:0008092; GO:0010324; GO:0030136; GO:0035091; GO:0042802; GO:0048268; GO:0048488; GO:0061024; GO:0072583; GO:0072659; GO:0098835
Q5R807,FCHO2_PONAB,F-BAR domain only protein 2,FCHO2,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0001786; GO:0005546; GO:0005886; GO:0005905; GO:0010324; GO:0035091; GO:0048268; GO:0072583; GO:0072659
O60290,ZN862_HUMAN,Zinc finger protein 862,ZNF862 KIAA0543,Homo sapiens (Human),GO:0003676; GO:0005634; GO:0006355; GO:0046872; GO:0046983
Q9UPU5,UBP24_HUMAN,Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24),USP24 KIAA1057,Homo sapiens (Human),GO:0004197; GO:0004843; GO:0005654; GO:0006511; GO:0016579; GO:0036459
P22694,KAPCB_HUMAN,cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11),PRKACB,Homo sapiens (Human),GO:0000287; GO:0001843; GO:0002223; GO:0003091; GO:0004691; GO:0005524; GO:0005634; GO:0005654; GO:0005813; GO:0005829; GO:0005886; GO:0005952; GO:0006468; GO:0007165; GO:0007188; GO:0007596; GO:0010737; GO:0031625; GO:0034199; GO:0034237; GO:0034380; GO:0045171; GO:0048471; GO:0051447; GO:0070062; GO:0070613; GO:0071377; GO:0097338; GO:0097546; GO:1901621
P12370,KAPC1_DROME,cAMP-dependent protein kinase catalytic subunit 1 (PKA C) (EC 2.7.11.11) (Protein kinase DC0),Pka-C1 CdkA DC0 CG4379,Drosophila melanogaster (Fruit fly),GO:0004674; GO:0004691; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0006468; GO:0007186; GO:0007314; GO:0007317; GO:0007448; GO:0007476; GO:0007615; GO:0007622; GO:0008103; GO:0008355; GO:0008359; GO:0010628; GO:0010737; GO:0019933; GO:0030425; GO:0032436; GO:0034237; GO:0040040; GO:0042981; GO:0044297; GO:0045187; GO:0045879; GO:0045880; GO:0046823; GO:0048149; GO:0048477; GO:0048682; GO:0048749; GO:0050804; GO:0071361; GO:2000249
Q9XTR8,LIP1_CAEEL,Lipase ZK262.3 (EC 3.1.1.-),ZK262.3,Caenorhabditis elegans,GO:0005576; GO:0016042; GO:0016787
P38040,GBG1_DROME,Guanine nucleotide-binding protein subunit gamma-1,Ggamma1 G1 CG8261,Drosophila melanogaster (Fruit fly),GO:0003015; GO:0003380; GO:0003924; GO:0005834; GO:0007186; GO:0007391; GO:0007637; GO:0010470; GO:0031680; GO:0031681; GO:0035050; GO:0043519; GO:0045176; GO:0048383; GO:0055059; GO:0060027; GO:0061343
Q60519,SEM5B_MOUSE,Semaphorin-5B (Semaphorin-G) (Sema G),Sema5b Kiaa1445 Semag SemG,Mus musculus (Mouse),GO:0016021; GO:0030215; GO:0048675; GO:0050908; GO:0097485; GO:1990138
Q96N67,DOCK7_HUMAN,Dedicator of cytokinesis protein 7,DOCK7 KIAA1771,Homo sapiens (Human),GO:0000226; GO:0005085; GO:0005925; GO:0007264; GO:0007409; GO:0022027; GO:0030424; GO:0030426; GO:0031175; GO:0033138; GO:0043005; GO:0045178; GO:0045200; GO:0048365; GO:0050767; GO:0090630; GO:0120163; GO:1904754
E1BD59,TRI56_BOVIN,E3 ubiquitin-protein ligase TRIM56 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM56) (Tripartite motif-containing protein 56),TRIM56,Bos taurus (Bovine),GO:0004842; GO:0005737; GO:0008270; GO:0032608; GO:0034340; GO:0051607; GO:0070534
Q07553,GCY3E_DROME,Guanylate cyclase 32E (EC 4.6.1.2),Gyc32E GC CG33114,Drosophila melanogaster (Fruit fly),GO:0001653; GO:0004383; GO:0005524; GO:0005525; GO:0005886; GO:0005887; GO:0006182; GO:0006468; GO:0007165; GO:0007168; GO:0019934; GO:0038023
Q9BI23,YELL_DROER,Protein yellow,y,Drosophila erecta (Fruit fly),GO:0005576; GO:0007275; GO:0042438; GO:0060179
P70031,CCKAR_XENLA,Cholecystokinin receptor (CCK-XLR),cckar,Xenopus laevis (African clawed frog),GO:0004930; GO:0005886; GO:0016021
Q96PY6,NEK1_HUMAN,Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55),NEK1 KIAA1901,Homo sapiens (Human),GO:0000242; GO:0004672; GO:0004674; GO:0004713; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005829; GO:0006468; GO:0007049; GO:0016301; GO:0023014; GO:0032147; GO:0034451; GO:0042769; GO:0046872; GO:0051301; GO:0060271; GO:0071889
P13002,ELF1_DROME,Protein grainyhead (DNA-binding protein ELF-1) (Element I-binding activity) (Protein grainy-head) (Transcription factor NTF-1),grh elf1 CG5058,Drosophila melanogaster (Fruit fly),GO:0003382; GO:0003677; GO:0003700; GO:0005634; GO:0006357; GO:0007399; GO:0007402; GO:0007419; GO:0007424; GO:0007426; GO:0007464; GO:0008362; GO:0008543; GO:0035159; GO:0040003; GO:0042052; GO:0042127; GO:0042803; GO:0043565; GO:0045944; GO:0050767; GO:0061024; GO:0061041
Q9NZI5,GRHL1_HUMAN,Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32),GRHL1 LBP32 MGR TFCP2L2,Homo sapiens (Human),GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0002934; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0008544; GO:0019216; GO:0031490; GO:0042803; GO:0043231; GO:0043565; GO:0044212; GO:0045616; GO:0045944; GO:0061436
Q9VML9,TRISR_DROME,Trissin receptor,TrissinR CG34381,Drosophila melanogaster (Fruit fly),GO:0004930; GO:0005887; GO:0007186; GO:0008188; GO:0008528; GO:0016021; GO:0032870
Q71R50,DHR11_CHICK,Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1),DHRS11 SDR24C1,Gallus gallus (Chicken),GO:0000166; GO:0000253; GO:0004303; GO:0005576; GO:0006703; GO:0072555; GO:0072582
Q94521,DNAT_DROME,Dopamine N-acetyltransferase (EC 2.3.1.87) (Arylalkylamine N-acetyltransferase),AANAT1 Dat NAT1 CG3318,Drosophila melanogaster (Fruit fly),GO:0004059; GO:0004060; GO:0005737; GO:0006584; GO:0008080; GO:0030187; GO:0030431; GO:0042420; GO:0042429; GO:0045187; GO:0046334; GO:0048066
Q9T0F4,IAN13_ARATH,Immune-associated nucleotide-binding protein 13 (AtIAN13) (AIG1-like protein),IAN13 At4g09950 T5L19.80,Arabidopsis thaliana (Mouse-ear cress),GO:0005525
Q3U487,HECD3_MOUSE,E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3),Hectd3,Mus musculus (Mouse),GO:0004842; GO:0019905; GO:0043161; GO:0048471
P56520,HDAC3_CHICK,Histone deacetylase 3 (HD3) (EC 3.5.1.98),HDAC3,Gallus gallus (Chicken),GO:0000118; GO:0000122; GO:0003682; GO:0003714; GO:0004407; GO:0005634; GO:0005737; GO:0006325; GO:0008134; GO:0017053; GO:0032041; GO:0032922; GO:0042752; GO:0045944; GO:0070491; GO:0070932; GO:0070933
Q6AY22,SPAT1_RAT,Spermatogenesis-associated protein 1,Spata1,Rattus norvegicus (Rat),
P48416,CP10_LYMST,Cytochrome P450 10 (EC 1.14.-.-) (CYPX),CYP10,Lymnaea stagnalis (Great pond snail) (Helix stagnalis),GO:0004497; GO:0005506; GO:0016705; GO:0020037
Q9CR50,ZN363_MOUSE,RING finger and CHY zinc finger domain-containing protein 1 (EC 2.3.2.27) (Androgen receptor N-terminal-interacting protein) (CH-rich-interacting match with PLAG1) (E3 ubiquitin-protein ligase Pirh2) (RING-type E3 ubiquitin transferase RCHY1) (Zinc finger protein 363),Rchy1 Arnip Chimp Zfp363 Znf363,Mus musculus (Mouse),GO:0000151; GO:0002039; GO:0004842; GO:0005102; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006511; GO:0008270; GO:0016567; GO:0016607; GO:0031398; GO:0032436; GO:0042803; GO:0043231; GO:0051865
Q8BFY9,TNPO1_MOUSE,Transportin-1 (Importin beta-2) (Karyopherin beta-2),Tnpo1 Kpnb2,Mus musculus (Mouse),GO:0005634; GO:0005737; GO:0006606; GO:0008139; GO:0008536; GO:0061608
Q148G4,TATD1_BOVIN,Putative deoxyribonuclease TATDN1 (EC 3.1.21.-),TATDN1,Bos taurus (Bovine),GO:0005654; GO:0008296; GO:0016888; GO:0046872
A0JMW6,T214A_XENLA,Transmembrane protein 214-A,tmem214-a,Xenopus laevis (African clawed frog),GO:0005789; GO:0005881; GO:0006915; GO:0016021
Q0E908,HIL_DROME,Hillarin (D-Hillarin) (D-hil),Hil CG30147,Drosophila melanogaster (Fruit fly),GO:0005938; GO:0032154; GO:0046872
Q6UPR8,ERMP1_RAT,Endoplasmic reticulum metallopeptidase 1 (EC 3.4.-.-) (Felix-ina),Ermp1 Fxna,Rattus norvegicus (Rat),GO:0001541; GO:0005783; GO:0005789; GO:0006508; GO:0008237; GO:0016021; GO:0046872
O14792,HS3S1_HUMAN,Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1),HS3ST1 3OST 3OST1,Homo sapiens (Human),GO:0005796; GO:0006024; GO:0008146; GO:0008467
O15973,OPSD1_MIZYE,"Rhodopsin, GQ-coupled (GQ-rhodopsin)",SCOP1,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),GO:0004930; GO:0007601; GO:0007602; GO:0009881; GO:0016021; GO:0018298
Q6IRT3,PARI_MOUSE,PCNA-interacting partner (PARI) (PARP-1 binding protein) (PARP1-binding protein) (PARPBP),Parpbp Pari,Mus musculus (Mouse),GO:0000785; GO:0003677; GO:0005654; GO:0005737; GO:0006281; GO:2000042
P08289,PPBT_RAT,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)",Alpl,Rattus norvegicus (Rat),GO:0001958; GO:0003006; GO:0004035; GO:0005615; GO:0005886; GO:0016311; GO:0016462; GO:0031012; GO:0031225; GO:0032496; GO:0033280; GO:0046677; GO:0046872; GO:0051384; GO:0065010; GO:0071407; GO:0071529
Q5R9H4,A1CF_PONAB,APOBEC1 complementation factor (APOBEC1-stimulating protein),A1CF ACF,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0003727; GO:0005737; GO:0005783; GO:0006397; GO:0016556; GO:0030895; GO:0050821
Q96EQ0,SGTB_HUMAN,Small glutamine-rich tetratricopeptide repeat-containing protein beta (Beta-SGT) (Small glutamine-rich protein with tetratricopeptide repeats 2),SGTB SGT2,Homo sapiens (Human),GO:0005829; GO:0006620; GO:0016020; GO:0030433; GO:0072380; GO:1903646
O01159,RSP7_CAEEL,"Probable splicing factor, arginine/serine-rich 7 (p54)",rsp-7 D2089.1,Caenorhabditis elegans,GO:0000398; GO:0003723; GO:0005654
O59028,MDH_PYRHO,Malate dehydrogenase (EC 1.1.1.37),mdh PH1277,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),GO:0005737; GO:0006099; GO:0030060
Q5E9N4,AADAT_BOVIN,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II)",AADAT,Bos taurus (Bovine),GO:0005739; GO:0006103; GO:0006536; GO:0008483; GO:0009058; GO:0016212; GO:0030170; GO:0033512; GO:0047536; GO:0070189; GO:1901605
Q96GM8,TOE1_HUMAN,Target of EGR1 protein 1,TOE1,Homo sapiens (Human),GO:0000175; GO:0004535; GO:0005654; GO:0005730; GO:0005737; GO:0015030; GO:0016604; GO:0016607; GO:0017069; GO:0034472; GO:0046872; GO:0090503
Q5GH57,XKR6_RAT,XK-related protein 6,Xkr6 Xrg6,Rattus norvegicus (Rat),GO:0005886; GO:0016020; GO:0016021; GO:0043652; GO:0070782; GO:1902742
Q70KF4,CMYA5_MOUSE,Cardiomyopathy-associated protein 5 (Heart and skeletal muscle-specific and sprouty domain-containing) (Myospryn) (Stretch-response protein 553) (Stretch-responsive fibronectin protein type 3) (TRIM-like protein),Cmya5 Sr553 Srfsd Tims,Mus musculus (Mouse),GO:0005634; GO:0014733; GO:0016529; GO:0031430; GO:0032515; GO:0042802; GO:0043034; GO:0048471; GO:0070885
A8WYE4,PAR1_CAEBR,Serine/threonine-protein kinase par-1 (EC 2.7.11.1),par-1 CBG04756,Caenorhabditis briggsae,GO:0000226; GO:0004674; GO:0005524; GO:0005737; GO:0005938; GO:0007275; GO:0035556; GO:0046872; GO:0050321
Q9TW45,PAR1_CAEEL,Serine/threonine-protein kinase par-1 (EC 2.7.11.1),par-1 H39E23.1,Caenorhabditis elegans,GO:0000226; GO:0004674; GO:0005524; GO:0005737; GO:0005938; GO:0006468; GO:0007163; GO:0009880; GO:0009949; GO:0018105; GO:0030010; GO:0031625; GO:0032035; GO:0035556; GO:0040025; GO:0043186; GO:0045167; GO:0046872; GO:0050321; GO:0055059; GO:0071944
Q54YF2,AMPKA_DICDI,"5'-AMP-activated serine/threonine-protein kinase catalytic subunit alpha (AMPKA) (EC 2.7.11.1) (Protein kinase, AMP-activated, alpha subunit) (SNF1/AMP-activated kinase catalytic subunit) (Sucrose non-fermenting protein snfA)",snfA ampka prkaa DDB_G0277905,Dictyostelium discoideum (Slime mold),GO:0004674; GO:0004679; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006754; GO:0007005; GO:0010628; GO:0010629; GO:0019954; GO:0031285; GO:0035556; GO:0046956; GO:0060176; GO:1901261; GO:1903665
Q7M6Y2,SOX11_MOUSE,Transcription factor SOX-11,Sox11 Sox-11,Mus musculus (Mouse),GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0001158; GO:0001228; GO:0001501; GO:0001822; GO:0001841; GO:0002089; GO:0003151; GO:0003211; GO:0003357; GO:0003700; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0008284; GO:0010628; GO:0010629; GO:0014003; GO:0014009; GO:0014032; GO:0017015; GO:0021510; GO:0021782; GO:0030154; GO:0030182; GO:0030513; GO:0035332; GO:0035914; GO:0044798; GO:0045666; GO:0045669; GO:0045778; GO:0045893; GO:0045944; GO:0046887; GO:0048485; GO:0048557; GO:0048704; GO:0050672; GO:0050769; GO:0060022; GO:0060023; GO:0060174; GO:0060253; GO:0060412; GO:0060425; GO:0060548; GO:0060563; GO:0061029; GO:0061053; GO:0061303; GO:0061386; GO:0072395; GO:2000648; GO:2000678; GO:2001111
Q8C0P7,ZN451_MOUSE,E3 SUMO-protein ligase ZNF451 (EC 2.3.2.-) (E3 SUMO-protein transferase ZNF451) (Zinc finger protein 451),Znf451 Zfp451,Mus musculus (Mouse),GO:0000979; GO:0003714; GO:0005634; GO:0010468; GO:0016605; GO:0016925; GO:0030512; GO:0046872; GO:0060633; GO:0061665; GO:2000616
Q86YT6,MIB1_HUMAN,E3 ubiquitin-protein ligase MIB1 (EC 2.3.2.27) (DAPK-interacting protein 1) (DIP-1) (Mind bomb homolog 1) (RING-type E3 ubiquitin transferase MIB1) (Zinc finger ZZ type with ankyrin repeat domain protein 2),MIB1 DIP1 KIAA1323 ZZANK2,Homo sapiens (Human),GO:0001568; GO:0001701; GO:0001756; GO:0001841; GO:0001947; GO:0004842; GO:0005737; GO:0005813; GO:0005829; GO:0005886; GO:0006897; GO:0007219; GO:0008270; GO:0014069; GO:0016567; GO:0031410; GO:0045665; GO:0045807
Q6P3N9,ZNT7_XENTR,Zinc transporter 7 (ZnT-7) (Solute carrier family 30 member 7),slc30a7 znt7 TEgg072f03.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),GO:0005794; GO:0006829; GO:0008324; GO:0016021
Q1HCL7,NAKD2_RAT,"NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)",Nadk2 Mnadk Nadkd1,Rattus norvegicus (Rat),GO:0003951; GO:0005524; GO:0005739; GO:0006741; GO:0019674; GO:0042803
Q6DCD1,FGGY_XENLA,FGGY carbohydrate kinase domain-containing protein (EC 2.7.1.-),fggy,Xenopus laevis (African clawed frog),GO:0005975; GO:0016301; GO:0016773
Q15569,TESK1_HUMAN,Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1),TESK1,Homo sapiens (Human),GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0007283; GO:0008022; GO:0019901; GO:0030036; GO:0031410; GO:0031953; GO:0032880; GO:0046872; GO:0051496; GO:0071901
Q924U5,TESK2_RAT,Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2),Tesk2,Rattus norvegicus (Rat),GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006915; GO:0007283; GO:0016604; GO:0030036; GO:0035556; GO:0046872; GO:0048041
O54904,B3GT1_MOUSE,"Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3Gal-T1) (Beta3GalT1) (EC 2.4.1.86) (UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase-I) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1)",B3galt1,Mus musculus (Mouse),GO:0000139; GO:0005783; GO:0005794; GO:0006486; GO:0006487; GO:0006493; GO:0006682; GO:0008375; GO:0008376; GO:0008499; GO:0009312; GO:0016021; GO:0030259; GO:0047275
Q2TAP8,CHCH7_XENLA,Coiled-coil-helix-coiled-coil-helix domain-containing protein 7,chchd7,Xenopus laevis (African clawed frog),GO:0005758
Q5U2T6,PLAG1_RAT,Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein),Plag1,Rattus norvegicus (Rat),GO:0000978; GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0005813; GO:0005829; GO:0006355; GO:0010628; GO:0010629; GO:0016607; GO:0022612; GO:0035264; GO:0035265; GO:0045944; GO:0046872; GO:0060252; GO:0060736
A7MB74,SGK1_BOVIN,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1),SGK1 SGK,Bos taurus (Bovine),GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005789; GO:0005886; GO:0006915; GO:0015459; GO:0018105; GO:0035556; GO:0048812
Q7T0W5,TFB1M_XENLA,"Dimethyladenosine transferase 1, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 1) (Mitochondrial transcription factor B1) (mtTFB1) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1)",tfb1m,Xenopus laevis (African clawed frog),GO:0000179; GO:0003677; GO:0003723; GO:0005739
Q49LS7,XKR8_TETNG,XK-related protein 8,xkr8 xrg8 GSTENG00010111001,Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis),GO:0005886; GO:0016021; GO:0043652; GO:0070782
Q6INU2,BSC1A_XENLA,BSD domain-containing protein 1-A,bsdc1-a,Xenopus laevis (African clawed frog),
A7RM45,LMBD1_NEMVE,Probable lysosomal cobalamin transporter,v1g160387,Nematostella vectensis (Starlet sea anemone),GO:0005765; GO:0016021; GO:0031419
Q80U95,UBE3C_MOUSE,Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C),Ube3c Kiaa0010 Kiaa10,Mus musculus (Mouse),GO:0000209; GO:0004842; GO:0005634; GO:0006511; GO:0061631
Q9CWQ0,DPH5_MOUSE,Diphthine methyl ester synthase (EC 2.1.1.314) (Diphthamide biosynthesis methyltransferase),Dph5,Mus musculus (Mouse),GO:0004164; GO:0017183; GO:0032259
A5HK05,APBP2_RAT,Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2),Appbp2,Rattus norvegicus (Rat),GO:0005634; GO:0005874; GO:0006886; GO:0030659; GO:0046907
Q2KHU4,CLPP_BOVIN,"ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)",CLPP,Bos taurus (Bovine),GO:0004176; GO:0004252; GO:0005759; GO:0006515; GO:0009368; GO:0051117; GO:0051603
